body,category,title,pubDate,tags
منچستریونایتد با برتری 2 بر یک برابر کریستال پالاس قهرمان جام حذفی انگلیس شد.  به گزارش ایسنا، دیدار نهایی جام حذفی انگلیس بین دو تیم کریستال پالاس و منچستریونایتد در ورزشگاه ویمبلی شهر لندن برگزار شد تا از قهرمان این فصل جام حذفی رونمایی شود. بازی با حضور هواداران پرشور دو تیم در حالی آغاز شد که منچستریونایتد با هدایت فان خال با این ترکیب به میدان آمد: دخیا، والنسیا، اسمالینگ، بلیند، روخو، کریک، فلینی، ماتا، رونی، مارسیال، رشفورد.  در طرف مقابل آلن پاردو سرمربی کریستال پالاس نیز با این ترکیب تیمش را روانه بازی کرد: هنسی، وارد، دان، دلانی، سواره، زاها، کابای، جدیناک، مک آرتور، بولاسی، ویکهام.  بازی دو تیم در نیمه نخست بسیار سریع و پرهیجان دنبال شد و توپ های زیادی روی دروازه های دو تیم جریان داشت. حرکات انفرادی زاها برای پالاس و مارسیال برای یونایتد بارها خطرساز شد تا اینکه بازی در نیمه نخست با سوت مارک کلاتنبرگ که هفته دیگر باید فینال لیگ قهرمانان اروپا را در میلان سوت بزند به پایان رسید و دو تیم به رختکن رفتند.  در نیمه دوم برتری نسبی با منچستری ها بود و این تیم بارها تا آستانه گلزنی پیش رفت و دو بار دیرک دروازه حریف را به لرزه درآورد. در بار نخست ضربه فلاینی به دیرک دروازه اصابت کرد و در ادامه سانتر والنسیا با ضربه سر مارسیال به دیرک دروازه اصابت کرد. البته کریستال پالاس هم دست و پا بسته نبود و روی ضدحملات نشان داد که حریف خطرناکی است. در نهایت روی یکی از این حملات پانچه اون که به تازگی به جای کابای به میدان آمده بود در دقیقه 78موفق شد دروازه دخیا را باز کند ولی کمتر از 3 دقیقه بعد خوان ماتا روی پاس رونی و کنترل سینه دیدنی فلینی دروازه پالاس را باز کرد تا بازی دو تیم در پایان 90 دقیقه با تساوی یک بر یک به پایان برسد تا بازی به وقت های اضافی کشیده شود.  در وقت های اضافه اسمالینگ با دریافت کارت زرد دوم از زمین بازی اخراج شد و یک بار نیز دخیا توانست دروازه یونایتد را نجات دهد تا اینکه لینگارد توانست با گلزنی خود تیم 10 نفره یونایتد را قهرمان جام حذفی کند تا این تیم برای اولین بار در 10 سال گذشته به قهرمانی در این رقابت ها برسد.  سرالکس فرگوسن سرمربی سابق منچستریونایتد هم در ورزشگاه حاضر بود و بازی تیم سابق خود را از نزدیک مشاهده کرد.   ,ورزشي - جهان ورزش,قهرمانی منچستریونایتد در جام حذفی انگلیس,شنبه ۱ خرداد ۱۳۹۵ - ۲۳:۵۲,
مقام‌های آمریکایی اعلام کرده‌اند که رهبر طالبان افغانستان احتمالا در جریان حمله هوایی آمریکا در نزدیکی مرز پاکستان و افغانستان کشته شده است. اداره امنیت ملی (سازمان اطلاعات) افغانستان نیز کشته شدن ملا اختر منصور را تایید کرده است.  به گزارش خبرگزاری دانشجویان ایران (ایسنا)، به نقل از خبرگزاری رویترز، ‌این مقام‌ها اعلام کرده‌اند که ملا اختر منصور، رهبر طالبان افغانستان، در حمله روز شنبه در منطقه‌ای دورافتاده در پاکستان، واقع در مرز مشترک این کشور با افغانستان در حمله هواپیمای بدون سرنشین آمریکایی کشته‌ شده است.  پیتر کوک، سخنگوی پنتاگون، حمله هوایی علیه منصور در منطقه‌ای در مرز پاکستان و افغانستان را تایید اما از ارائه اطلاعات درخصوص سرنوشت وی خودداری کرد.     ملا اختر منصور   این در حالی است که مقام‌های آمریکایی که خواستند نامشان فاش نشود، به رویترز اعلام کردند که وی احتمالا کشته شده است.  کوک گفت: ما همچنان در حال ارزیابی نتایج این حمله هستیم و در صورت دسترسی به اطلاعات بیشتر، جزییات آن را اعلام خواهیم کرد.  وی منصور را مانعی برای صلح و آشتی میان دولت افغانستان و طالبان خواند و گفت که او در طراحی حملات که تهدیدی علیه نیروهای آمریکا، افغانستان و متحدان آمریکا بود، دست داشته است.  یک مقام آمریکایی دیگر که خواست نامش فاش نشود نیز گفت: در پی این حمله هوایی منصور و یک شبه نظامی دیگر که سوار بر یک وسیله نقلیه در یک مکان دورافتاده در جنوب غربی شهر احمدوال بودند، مورد هدف قرار گرفتند.    این مقام آمریکایی گفت که نیروهای عملیات ویژه آمریکا از هواپیماهای بدون سرنشین در ماموریتی که مجوز آن از سوی باراک اوباما، رییس جمهوری آمریکا صادر شده بود، استفاده کرده‌اند.  وی افزود که این حمله ساعت شش صبح شنبه به وقت محلی افغانستان صورت گرفته است.     منطقه احمدوال   از دیگر سو جان کری، وزیر خارجه آمریکا رهبر طالبان را تهدیدی مستمر برای آمریکا و افغانستان خواند. وی تاکید کرد روسای جمهور افغانستان و پاکستان در جریان این حمله قرار داشتند.  دولت افغانستان هم با تایید خبر حمله هوایی آمریکا به ملا اختر منصور، اعلام کرد منتظر اخبار بیشتر درباره مرگ رهبر طالبان است.  دفتر ریاست جمهوری افزوده که در صورت کشته شدن ملا منصور، فرصت جدیدی برای آن گروه‌های طالبان است که می‌خواهند از جنگ و خون ریزی دست کشیده، از خاک بیگانگان به وطن برگشته و به روند صلح بپیوندند که از جانب خود افغانها پیش برده می‌شود.  ارگ ریاست جمهوری از تمامی گروه‌های طالبان خواسته که از داعیه مردم و دولت افغانستان برای تامین صلح استقبال نموده و به زندگی صلح آمیز بپیوندند.  در اطلاعیه امروز دفتر ریاست جمهوری افغانستان آمده که او (ملا اختر منصور) با پناه گرفتن در خاک بیگانه همچنان به تزویر، کتمان حقایق، کشتار مردم بیگناه، ترور، وحشت، قاچاق مواد مخدر و جلوگیری از پیشرفت و توسعه افغانستان دست می‌زد و در تداوم جنگ لجوجانه تاکید می‌کرد.  ریاست جمهوری افغانستان افراد وابسته به او را به قساوت علیه مردم متهم کرده‌ است.  در این اطلاعیه آمده که این عملیات بار دیگر نشان می‌دهد که تروریست‌ها و آنانیکه جنگ و خشونت پیشه‌شان است، در هیچ جای مصون نخواهند بود.  عبدالله عبدالله، رییس اجرایی دولت افغانستان نیز گفت در صورتی که گزارش‌ها درخصوص کشته‌ شدن ملا اختر منصور، رهبر طالبان در حملات هوایی آمریکا صحت داشته باشد، انتظار می‌رود تغییرات بزرگی در رهبری این گروه در افغانستان ایجاد شود.  در همین حال اداره امنیت ملی افغانستان تایید کرده که ملا اخترمحمد منصور، رهبر گروه طالبان عصر دیروز در حمله هوایی در ایالت بلوچستان پاکستان کشته شده است.  این اداره با صدور اعلامیه‌ای گفته که ملا منصور حوالی ساعت ۳:۴۵ عصر دیروز به وقت محلی در جاده عمومی در منطقه دالبندین ایالت بلوچستان پاکستان کشته شد.  سازمان اطلاعات افغانستان نوشته که رهبر گروه طالبان از مدتی به این سو تحت تقصیب جدی بود و دیروز در حالی که بر یک خودرو سوار بود هدف حمله هوایی قرار گرفت و همراه با سایر سرنشینان این خودرو از بین رفت.  در اعلامیه اداره امنیت ملی افغانستان ذکری از حمله هواپیمای بدون سرنشین، پهپاد، آمریکا نشده است.    هم‌زمان یک فرمانده ارشد طالبان نیز کشته شدن ملا اختر منصور را تایید کرد. ملا عبدالرئوف به آسوشیتدپرس گفت منصور در حمله هوایی جمعه شب در منطقه مرزی افغانستان و پاکستان کشته شده است.      این در حالی است که یک رهبر دیگر طالبان نزدیک به منصور که خواست نامش فاش نشود، در گفت‌وگو با رویترز خبر مرگ وی را تکذیب کرد.    این فرمانده گفت: ما این اخبار بی‌اساس را شنیده‌ایم، ‌اما این اولین بار نیست که ما این گزارش‌ها را دریافت می‌کنیم. من می‌خواستم فقط این را به شما بگویم که ملا منصور کشته نشده است.  در ماه دسامبر برخی رسانه‌ها اعلام کردند که منصور در جریان تیراندازی در منزل یک رهبر دیگر طالبان در نزدیک شهر کویته پاکستان زخمی و احتمالا کشته شده است.    در همین حال حسین حقانی، سفیر پیشین پاکستان در آمریکا، عنوان داشت که روابط نیروهای نظامی آمریکا و پاکستان تیره خواهد شد و این مساله آژانس اطلاعاتی پاکستان را در حالت آماده‌باش قرار می‌دهد.  یک مقام وزارت خارجه آمریکا اعلام کرد که پاکستان و افغانستان از این حمله اطلاع داشته‌اند، اما از بیان اینکه آیا آن‌ها پیش از این حمله از آن مطلع شده‌اند یا خیر، ‌خودداری کرد.       ,بين الملل - آسيا،خاورميانه,سازمان اطلاعات افغانستان کشته شدن رهبر طالبان را تایید کرد,یکشنبه ۲ خرداد ۱۳۹۵ - ۰۸:۴۹,
ارایه کلیه خدمات ارزی بانک گردشگری رسما و همزمان با میلاد منجی عالم بشریت، حضرت مهدی (عج) آغاز شد.  به گزارش سرویس بازار ایسنا، پس از اخذ مجوز مرحله دوم فعالیت‌های ارزی این بار به صورت رسمی با حضور علی اصغر سفری مدیرعامل بانک گردشگری ارایه کلیه خدمات ارزی در شعب تهران این بانک آغاز شد.  بانک گردشگری رسما می‌تواند در زمینه افتتاح انواع حساب‌های ارزی (قرض‌الحسنه و سپرده مدت دار)، خرید و فروش ارز، انجام انواع حواله‌های ارزی (داخلی و خارجی)، گشایش انواع اعتبارات اسنادی (وارداتی و صادراتی) و قبول بروات اسنادی و همچنین صدور انواع ضمانت‌نامه‌های ارزی فعالیت داشته باشد.  بانک گردشگری در اسفندماه سال 93 مجوز مرحله اول فعالیت‌های ارزی خود را دریافت کرد و در اسفندماه سال 94 مجوز مرحله دوم این فعالیت برای بانک صادر شد و به این ترتیب بانک گردشگری با تکمیل خدمات بانکی خود قادر به ارایه خدمات مورد نیاز مشتریان در سطح بین‌الملل خواهد بود.   ,بازار - خبر بازار,آغاز ارائه خدمات ارزی بانک گردشگری,شنبه ۱ خرداد ۱۳۹۵ - ۲۰:۳۸,"ارز,بانک,بانک گردشگری"
دورهمی امشب - شنبه - ساعت ٢٣ روی آنتن شبکه نسیم می‌رود.    به گزارش ایسنا، در برنامه امشب کورش تهامی (بازیگر)، حمید استیلی (فوتبالیست) و امیر و مهدی تاجیک (خواننده) مهمان مهران مدیری خواهند بود.    به گفته حمید رحیمی نادی (یکی از تهیه‌کنندگان پروژه) برخلاف اعلام یکی از نشریات، دورهمی نسبت به سایر تولیدات تلویزیون کمترین اصلاحیه را داشته و اگر قسمتی از برنامه در تدوین حذف شده به محدودیت زمانی مجموعه مربوط می‌شود.  رحیمی نادی در پایان گفت: تمامی اخبار پروژه توسط مدیر روابط عمومی مجموعه منتشر می‌شود. از اهالی رسانه درخواست دارم قبل انتشار هرگونه خبری با مدیر روابط عمومی هماهنگی های لازم را به عمل آورند تا از ایجاد شایعات بی اساس جلوگیری شود.       دورهمی    ,فرهنگي و هنري - تلويزيون و راديو,تهیه‌کننده «دورهمی»: کمترین اصلاحیه را داشته‌ایم,شنبه ۱ خرداد ۱۳۹۵ - ۱۹:۲۲,مهران مديري
شرکت آسیا شیمی طب سبد کاملی از محصولات با کیفیت را در نخستین نمایشگاه بین‌المللی مواد و تجهیزات داندانپزشکی به جامعه پزشکی عرضه کرد.    به گزارش سرویس بازار ایسنا، شرکت آسیا شیمی طب در سال 1374 به عنوان پنجمین تولیدکننده مخروط‌های گوتا پرکا و کن کاغذی در جهان تاسیس شد و در سال 1379 تولید محلول‌های ضدعفونی کننده تحت لیسانس شرکت آلپرو مدیکال آلمان را آغاز کرد و در جهت نیاز به پیشگیری در عرصه دندانپزشکی کودکان در سال 91 تولید وارنیش سدیم فلوراید 5 درصد آریادنت را شروع کرد.    شرکت آسیا شیمی طب در پروژه‌ای، طی دو مرحله در سال برای پیشگیری از پوسیدگی دندان دانش‌آموزان دبستانی وارنیش سدیم فلوراید را جهت فلورایدتراپی عرضه می‌کند.    تمام مراحل تحقیقات و فورمولاسیون و تست‌های آزمایشگاهی این طرح توسط بخش تحقیق و توسعه این شرکت انجام شد.    به گزارش ایسنا، اولین نمایشگاه بین‌المللی مواد و تجهیزات داندانپزشکی توسط شرکت هدیش کیش، از 27 تا 30 اردیبهشت‌ماه در محل دایمی نمایشگاه‌های بین‌المللی تهران برگزار شد.     ,بازار - خبر بازار,برگزارکننده پروژه پیشگیری از پوسیدگی دندان دبستانی‌ها در نمایشگاه,شنبه ۱ خرداد ۱۳۹۵ - ۲۰:۴۰,"نمايشگاه,دندان,دندانپزشكي"
سرمربی سویا اعلام کرد که با تمام قدرت به مصاف بارسلونا خواهند رفت.  به گزارش ایسنا به نقل از آس، سویا در دیدار نهایی کوپا دل ری بامداد دوشنبه برابر بارسلونا قرار می گیرد. اونای امری در نشست خبری پیش از بازی گفت: در این مسیر خیلی چیزها را از دست دادیم. ژانویه ماه خیلی سختی برای ما بود. علاوه بر لالیگا در کوپا دل ری و لیگ اروپا حضور داشتیم و شرایط سختی را سپری کردیم. اما اکنون به جز فتح لیگ اروپا شانس دیگری برای قهرمانی داریم.  سرمربی سویا در ادامه افزود: یک روز دیگر فرصت داریم تا با هواداران از آن لذت ببریم. فینال دیگری را با تیمی که بخت بیشتری برای قهرمانی دارد تجربه خواهیم کرد اما با تمام قدرت به مصاف حریف خواهیم رفت.  او درباره سومین قهرمانی تیمش در لیگ اروپا گفت: از سویا تشکر می کنم که به من قدرت داد تا بتوانم این عناوین را فتح کنم.  او درمورد غلبه بر حریف اظهار کرد: باید خیلی کارها انجام دهیم. در دفاع مستحکم باشیم و پشت سر بازیکنانشان بدویم. سعی خواهیم کرد مالکیت توپ کمتری داشته باشند .برای پیروزی بازیکنانمان باید به یکدیگر کمک کنند، آن ها بازیکنان توانمندی دارند اما ما نیز توان رقابت با آن ها را داریم.  امری درباره پنالتی ها گفت:بازیکنانی که جنگجوی واقعی هستند بهترین پنالتی زن ها هستند. آن هایی را که با چشمانشان نگاه می کنند را شناسایی می کنم .   ,ورزشي - جهان ورزش,امری: با تمام قدرت به مصاف بارسلونا خواهیم رفت,شنبه ۱ خرداد ۱۳۹۵ - ۲۰:۴۲,
رییس هیات مدیره فعلی شرکت بیمه آرمان، تغییر مدیرعامل این شرکت را بنا به درخواست سهامداران دانست و گفت: با تشکیل مجمع، سهامداران به این جمع‌بندی رسیدند که این تغییر ایجاد شود.    به گزارش سرویس بازار ایسنا، محمدرضا امیر حسنخانی رییس هیات مدیره فعلی شرکت بیمه آرمان ادامه داد: بیمه آرمان در سطح یک توانگری مالی قرار دارد علاوه بر اینکه به اندازه کافی ذخیره‌گیری صورت گرفته و طی این سال‌ها هیچ تعللی در پرداخت خسارت وجود نداشته، ضمن اینکه از اندوخته‌های فنی قابل قبولی نیز برخوردار است و نقدینگی لازم نیز در شرکت وجود دارد.  وی همچنین تصریح‌کرد: بیمه آرمان با ذخیره‌گیری مثلثی با کاهش سود مواجه نشد زیرا همیشه تلاش کرده سود معقولی را به سهامداران خود ارایه دهد.  امیر حسنخانی همچنین از پیاده‌سازی مدل جامع ارزیابی و ساماندهی شعب در سال 95 در بیمه آرمان خبر داد و گفت: تحول در ترکیب پرتفوی در دستور کار مدیریت جدید بیمه آرمان قرار می‌گیرد.   ,بازار - خبر بازار,ذخیره فنی بیمه آرمان خوب است,شنبه ۱ خرداد ۱۳۹۵ - ۲۱:۱۷,"بيمه ,بیمه آرمان,مجمع"
آیت‌الله هاشمی رفسنجانی گفت: روز میلاد منجی بشر در آخر الزمان است که پس از این همه انتظار، می‌آیند تا حقیقت اسلام را در دنیا پیاده کنند و ما باید برای ترویج رحمانیت اسلام تلاش کنیم.    به گزارش گروه دریافت خبر خبرگزاری دانشجویان ایران (ایسنا)، رئیس مجمع تشخیص مصلحت نظام،صبح امروز در دو دیدار جداگانه با محققان و پژوهشگران دست‌اندرکار تدوین کتاب دیالوگ با خدا و اعضای بخش‌های مختلف پایگاه اطلاع‌رسانی خویش و همچنین اعضای هیأت امنای بنیاد بیماری‌های خاص استان گیلان، پس از تبریک نیمه شعبان، با ارائه تحلیلی از تاریخ اسلام و فراز و فرودها و اتفاقات تلخ و شیرین از زمان بعثت نبوی تا زمان خلفا، زمان ائمه شیعه و زمان حکومت‌های متعدد و گوناگون در بلاد اسلامی تا الان، گفت: براساس روایات متقن یکی از آثار ظهور منجی، رشد علم و تکنولوژی و پیشرفت انسان در سایه‌ی پیروی از دین واحد جهانی است.    آیت‌الله هاشمی رفسنجانی، در پاسخ به سوال یکی از حاضران که چه باید کرد تا دیالوگ با خدا به عنوان یکی از مهم‌ترین کارها برای تعمیق و گسترش سعادت انسان در زمین فراگیر شود؟، به آیات قرآن در خصوص فطرت الهی انسان‌ اشاره کرد و گفت: یکی از بهترین کارها، ترویج فرهنگ اصیل اسلامی و بیان فضیلت‌ها و رذیلت‌های اخلاقی است که نمونه‌های آن را در توصیه‌های امام موسی کاظم(ع) به شاگردشان هشام بن حکم دیدیم.    ایشان انسان را خلیفه الله بر روی زمین خواند و با بیان روایت امام علی(ع) درباره‌ی انسان که أتزعم أنک جرم صغیر و فیک انطوی العالم الأکبر، گفت: در میان همه‌ی موجودات و مخلوقات، انسان می‌تواند مانند خلاق بودن، شبیه خدا باشد و برای شناخت موجودی که شبیه خداست، باید تلاش‌های مضاعفی کرد. (عبدی أطعنی أجعلک مثلی، حدیث قدسی)    آیت‌الله هاشمی رفسنجانی، در پاسخ به سوالی که وظیفه ما در زمانی که بعضی‌ها به اسم اسلام باعث بدنامی مسلمانان در جوامع بشری می‌شوند و همچنین با شانتاژِ‌های خبری سعی در اشاعه‌ی حقیقت گریزی در جامعه دارند، چیست؟ آیه‌ی 107 سوره‌ی انبیا را که می‌فرماید: وَمَآ ارْسَلْنَاکَ إِلا رَحْمَةً لِّلْعَلَمِینَ، قرائت کرد و گفت: مهمترین هدف نبوت گسترش مهر و محبت در سراسر دنیا بود و پیامبر(ص) علاوه بر گفتار فراوان، در عمل نیز با ترویج عهد اخوت بین مسلمانان مهاجر و انصار در مدینه برای این تلاش می‌کرد و اکنون نیز باید در برابر شانتاژ‌های خبری، اولاً با عقل و منطق و بدون اهانت به دیگران حرف خود را بزنید و ثانیاً با زمان شناسی به مصلحت نظام، اسلام و ایران فکر کنید که مبادا سخنی حتی در دفاع از خودمان بر زبان بیاوریم که برای مردم، کشور و نظام هزینه داشته باشد.    رئیس مجمع تشخیص مصلحت نظام، در خصوص حاشیه‌نگاری‌هایی که چند سالی بعد از خبرهای رسمی در سایت ایشان و دیگر رسانه‌ها منتشر می‌شود، گفت: قلم و ادبیاتش را می‌پسندم که به تناسب هر جمله‌ای گریز‌های مناسبی به اتفاقات تاریخی و مناسبت‌های سیاسی، دینی، فرهنگی و اجتماعی زده می‌شود.    ایشان همچنین در دیدار اعضای هیأت امنای بنیاد بیماری‌های خاص استان گیلان کمک به انسان‌های نیازمند و به خصوص بیماران و به ویژه بیماران خاص را از ضرورت‌های اخلاق انسانی و اسلامی قلمداد کرد و گفت: به هر مقدار که در این راه و برای کم کردن آلام بیماران تلاش کنید، اجر مضاعفی در درگاه خداوند خواهید داشت.    ایشان تأکید کرد: به هر مقدار که در توان داشته باشم برای راه‌اندازی و ترویج مؤسسات رسیدگی به افراد سالخورده و نیازمند کمک خواهم کرد.    در آغاز هر یک از این دیدارها، آقایان محمد محمودی، حجت‌الاسلام عباسی فر، مکری، محمدرضا بختیاری، مهندس ناصر صفری، ذیجودی، حق‌دوست و همچنین چند تن از کارکنان در پایگاه اطلاع‌رسانی، ضمن ارائه گزارشی از فعالیت‌های حوزه مسؤولیت خویش، به بیان دیدگاه‌ها در خصوص مسایل سیاسی، اقتصادی، فرهنگی و اجتماعی پرداختند.       ,سياسي - سياست داخلي,باید برای ترویج رحمانیت اسلام تلاش کنیم,شنبه ۱ خرداد ۱۳۹۵ - ۲۱:۱۲,
طی حکمی از سوی علی اصغر پورمحمدی، معاون سیما محمد مهدی یادگاری به عنوان مدیر کل تأمین برنامه‌های خارجی و رسانه بین‌الملل سیما منصوب شد.    به گزارش ایسنا، معاون سیما، تأمین و آماده‌سازی برنامه‌های خارجی و برنامه‌های تولید شده در بخش خصوصی، را از اهم وظایف مدیر کل تامین برنامه‌های خارجی و رسانه بین‌الملل سیما برشمرد.    در این حکم بر شناسایی، انتخاب و خرید بهترین آثار تلویزیونی در تمام ساختارهای برنامه‌سازی خصوصاً برنامه‌های نمایشی، مستند و پویانمایی، منطبق با سیاست‌های کلان رسانه، آماده‌سازی آثار تهیه شده اعم از ترجمه و دوبله، با هماهنگی شبکه‌های ذیربط تاکید شده است.    رصد و تحلیل محتوای برنامه‌های ماهواره‌ای و انعکاس مرتب آن به معاونت سیما و مدیران ارشد سازمان و هماهنگی با شبکه‌های مختلف داخلی و خارجی برای تولید کارهای مشترک از دیگر موارد این حکم است.    تنظیم برنامه جامع اعزام مدیران و کارشناسان ذیربط به بازارها و جشنواره‌های مهم جهانی و منطقه‌ای و حضور فعال و هدفمند در این مراکز، از دیگر تاکیدات معاون سیما بود.    علی اصغر پورمحمدی از زحمات غلامعلی رمضانی در طول مدت تصدی آن اداره کل صمیمانه تشکر و قدردانی کرد.     ,فرهنگي و هنري - تلويزيون و راديو,انتصاب در تلویزیون,شنبه ۱ خرداد ۱۳۹۵ - ۱۹:۴۵,
وزیر کشور در سفر به ورشو موافقتنامه همکاری بین ایران و لهستان در زمینه مبارزه با جرائم سازمان یافته را امضا خواهد کرد.    به گزارش گروه دریافت خبر خبرگزاری دانشجویان ایران (ایسنا)، عبدالرضا رحمانی فضلی در سفر به ورشو ضمن دیدار و گفت‌وگو با ماریوش بلاشچاک همتای لهستانی خود، موافقتنامه 9 ماده‌ای را به منظور مقابله موثر با جرائم سازمان یافته امضا خواهد کرد.    سفر دو روزه رحمانی فضلی وزیر کشور به جمهوری لهستان فردا آغاز خواهد شد.       ,سياسي - سياست داخلي,وزیر کشور به ورشو سفر می‌کند,شنبه ۱ خرداد ۱۳۹۵ - ۱۹:۴۴,"وزير کشور,لهستان,عبدالرضا رحماني فضلي,وزارت کشور"
