بانی مد , Banimode,۱,کامپیوتر، فناوری اطلاعات و اینترنت,۵۱ تا ۲۰۰ نفر,banimode.com,تاسیس در  ۱۳۹۳
کلاه نمدی , Kolahnamadi,۰,آموزش، مدارس و دانشگاه‌ها,۲ - ۱۰ نفر,kolahnamadi.com,None
ایران هتل آنلاین , Iran Hotel Online,۲,کامپیوتر، فناوری اطلاعات و اینترنت,۵۱ تا ۲۰۰ نفر,iranhotelonline.com,تاسیس در  ۱۳۸۴
پردازش نگار راشین , Rashin Studio,۳,کامپیوتر، فناوری اطلاعات و اینترنت,۵۱ تا ۲۰۰ نفر,Rashin.org,تاسیس در  ۱۳۹۱
دلتا , Delta,۱,املاک و مستغلات,۵۰۱ تا ۱۰۰۰ نفر,Delta.ir,تاسیس در  ۱۳۵۶
پرسینا , Persina,۰,کامپیوتر، فناوری اطلاعات و اینترنت,۱۱ تا ۵۰ نفر,persina.com,None
بایکس , Buyex,۰,کامپیوتر، فناوری اطلاعات و اینترنت,۱۱ تا ۵۰ نفر,buyex.ir,None
تم‌یاب , Themeyab,۰,کامپیوتر، فناوری اطلاعات و اینترنت,۲ - ۱۰ نفر,themeyab.com,None
تدبیرگستران بهینه ساز , TGBS Co,۹,کامپیوتر، فناوری اطلاعات و اینترنت,۵۱ تا ۲۰۰ نفر,tgbsco.com,تاسیس در  ۱۳۷۹
شرکتهای تابعه سیبل , Subsidiaries Cible,۰,رسانه و انتشارات,۲ - ۱۰ نفر,cible.ir,None
میل اسکین , mailskin,۰,کامپیوتر، فناوری اطلاعات و اینترنت,۲ - ۱۰ نفر,mailskin.net,تاسیس در  ۱۳۸۷
ویندوزسنتر , WindowsCenter,۰,کامپیوتر، فناوری اطلاعات و اینترنت,۱۱ تا ۵۰ نفر,windowscenter.ir,None
فرازپردازان  , Faraz Pardazan,۴,کامپیوتر، فناوری اطلاعات و اینترنت,۱۱ تا ۵۰ نفر,farazpardazan.com,تاسیس در  ۱۳۸۹
لک‌لک , Laklak,۰,کامپیوتر، فناوری اطلاعات و اینترنت,۲ - ۱۰ نفر,laklakgroup.com,None
ایکس بادی , XBODY,۱,واردات و صادرات,۱۱ تا ۵۰ نفر,www.xbodyworld.com,تاسیس در  ۱۳۹۵
کبال , Cobal,۱۰,کامپیوتر، فناوری اطلاعات و اینترنت,۱۱ تا ۵۰ نفر,cobal.ir,تاسیس در  ۱۳۹۶
فرست کوئست , 1stQuest,۱,کامپیوتر، فناوری اطلاعات و اینترنت,۱۱ تا ۵۰ نفر,1stQuest.com,تاسیس در  ۱۳۹۳
داده پردازی فراتک , Faratech Data Processing,۳,کامپیوتر، فناوری اطلاعات و اینترنت,۱۱ تا ۵۰ نفر,faratechdp.com,تاسیس در  ۱۳۸۸
فروشگاه اینترنتی مو تن رو , MooTanRoo Online Store,۳,کامپیوتر، فناوری اطلاعات و اینترنت,۱۱ تا ۵۰ نفر,mootanroo.com,تاسیس در  ۱۳۸۶
پرهام , Parham Co,۲,کامپیوتر، فناوری اطلاعات و اینترنت,۵۱ تا ۲۰۰ نفر,parham-co.ir,تاسیس در  ۱۳۸۹
چی باکی , Chibaki,۲,کامپیوتر، فناوری اطلاعات و اینترنت,۱۱ تا ۵۰ نفر,chibaki.co,تاسیس در  ۱۳۹۶
همکاران سیستم , System Group,۲,کامپیوتر، فناوری اطلاعات و اینترنت,بیش از ۱۰۰۰ نفر,www.systemgroup.net/,تاسیس در  ۱۳۶۶
هومینگ , Homing,۱۰,کامپیوتر، فناوری اطلاعات و اینترنت,۱۱ تا ۵۰ نفر,Homing.ir,None
داده پرداز پویای شریف , Dadeh Pardaz ,۵,کامپیوتر، فناوری اطلاعات و اینترنت,۱۱ تا ۵۰ نفر,www.dadehpardaz.com,None
تحلیلگر امید , Omid Analyzer,۱۲,کامپیوتر، فناوری اطلاعات و اینترنت,۵۱ تا ۲۰۰ نفر,omidanalyzer.com,تاسیس در  ۱۳۹۴
پرورش داده‌ها , DPCO,۲,کامپیوتر، فناوری اطلاعات و اینترنت,۵۰۱ تا ۱۰۰۰ نفر,www.dpco.net,تاسیس در  ۱۳۶۷
کارپینو , Carpino,۱,کامپیوتر، فناوری اطلاعات و اینترنت,۱۱ تا ۵۰ نفر,carpino.ir,تاسیس در  ۱۳۹۵
آسان بار , Asan Bar,۱,کامپیوتر، فناوری اطلاعات و اینترنت,۵۱ تا ۲۰۰ نفر,www.asanbar.ir,تاسیس در  ۱۳۹۵
مپفا , MAPFA,۶,کامپیوتر، فناوری اطلاعات و اینترنت,۵۱ تا ۲۰۰ نفر,mapfa.net,تاسیس در  ۱۳۸۲
مالتینا , Malltina,۷,کامپیوتر، فناوری اطلاعات و اینترنت,۱۱ تا ۵۰ نفر,malltina.com,None
گروه تک سامان هور , Taksaman,۲,تولید و صنایع,۱۱ تا ۵۰ نفر,taksaman.com,تاسیس در  ۱۳۸۵
