title_fa,title_en,open_jobs,category,company_size,company_site,year
موسسه زبان ایران اروپا , Iran Europe English School,۳,آموزش، مدارس و دانشگاه‌ها,۲۰۱ تا ۵۰۰ نفر,None,None
پیگیر , Paygear,۱,کامپیوتر، فناوری اطلاعات و اینترنت,۱۱ تا ۵۰ نفر,paygear.ir,تاسیس در  ۱۳۹۴
جیبیت , Jibit,۱,کامپیوتر، فناوری اطلاعات و اینترنت,۵۱ تا ۲۰۰ نفر,jibit.ir,تاسیس در  ۱۳۹۵
هلدینگ زئوس , ZEUS Holding,۱,تولید و صنایع,۵۱ تا ۲۰۰ نفر,zeusland.com,تاسیس در  ۱۳۸۶
اسنپ باکس , Snappbox,۴,کامپیوتر، فناوری اطلاعات و اینترنت,۲۰۱ تا ۵۰۰ نفر,snapp-box.com/,تاسیس در  ۱۳۹۶
رادوین تجارت , Rodween,۱,کامپیوتر، فناوری اطلاعات و اینترنت,۱۱ تا ۵۰ نفر,www.rodween.com,تاسیس در  ۱۳۸۰
ایران تام , IranTom,۸,کامپیوتر، فناوری اطلاعات و اینترنت,۱۱ تا ۵۰ نفر,irantom.ir,تاسیس در  ۱۳۹۷
هیچستان , Hichestan,۸,کامپیوتر، فناوری اطلاعات و اینترنت,۵۱ تا ۲۰۰ نفر,None,تاسیس در  ۱۳۹۶
 پارس فناوران مبتکر , PFM,۱,کامپیوتر، فناوری اطلاعات و اینترنت,۵۱ تا ۲۰۰ نفر,pfm.ir,تاسیس در  ۱۳۸۴
توسعه فن آوری باران  , Rainco,۱,کامپیوتر، فناوری اطلاعات و اینترنت,۱۱ تا ۵۰ نفر,raintd.com,None
آی هوم , iHome,۳,کامپیوتر، فناوری اطلاعات و اینترنت,۵۱ تا ۲۰۰ نفر,ihome.ir,None
مپفا , MAPFA,۷,کامپیوتر، فناوری اطلاعات و اینترنت,۵۱ تا ۲۰۰ نفر,mapfa.net,تاسیس در  ۱۳۸۲
مالتینا , Malltina,۶,کامپیوتر، فناوری اطلاعات و اینترنت,۱۱ تا ۵۰ نفر,malltina.com,None
گروه تک سامان هور , Taksaman,۲,تولید و صنایع,۱۱ تا ۵۰ نفر,taksaman.com,تاسیس در  ۱۳۸۵
پرینس بنر , Prince Banner,۰,تبلیغات، بازاریابی و برندسازی,یک نفر (من),PRINCEBANNER.IR,None
ویندوزسنتر , WindowsCenter,۰,کامپیوتر، فناوری اطلاعات و اینترنت,۱۱ تا ۵۰ نفر,windowscenter.ir,None
شرکتهای تابعه سیبل , Subsidiaries Cible,۰,رسانه و انتشارات,۲ - ۱۰ نفر,cible.ir,None
صبح هدف , Mesh,۰,کامپیوتر، فناوری اطلاعات و اینترنت,۱۱ تا ۵۰ نفر,mesh.ir,None
فناوری اطلاعات پارسا , IT Parsa,۱,کامپیوتر، فناوری اطلاعات و اینترنت,۱۱ تا ۵۰ نفر,itparsa.com,تاسیس در  ۱۳۸۶
تهران‌لوکس , Tehranlux,۰,رسانه و انتشارات,۱۱ تا ۵۰ نفر,tehranlux.com,None
فرازپردازان  , Faraz Pardazan,۴,کامپیوتر، فناوری اطلاعات و اینترنت,۱۱ تا ۵۰ نفر,farazpardazan.com,تاسیس در  ۱۳۸۹
علی بابا , Alibaba,۱۳,کامپیوتر، فناوری اطلاعات و اینترنت,۲۰۱ تا ۵۰۰ نفر,www.alibaba.ir,None
ایران هتل آنلاین , Iran Hotel Online,۱,کامپیوتر، فناوری اطلاعات و اینترنت,۵۱ تا ۲۰۰ نفر,iranhotelonline.com,تاسیس در  ۱۳۸۴
طوطی , Tutti,۰,کامپیوتر، فناوری اطلاعات و اینترنت,۲ - ۱۰ نفر,tutti.ir,None
بیست پیک , Bistpaik,۰,غذا و رستوران‌ها,۲ - ۱۰ نفر,None,None
پارس ایرانیک , Parsiranic,۰,کامپیوتر، فناوری اطلاعات و اینترنت,۲ - ۱۰ نفر,parsiranic.com,None
فناپ پرداخت , Fanap Payment,۲,کامپیوتر، فناوری اطلاعات و اینترنت,۲۰۱ تا ۵۰۰ نفر,fanappayment.ir,None
نارین ایده پاسارگاد , Narin Ideh,۲,کامپیوتر، فناوری اطلاعات و اینترنت,۱۱ تا ۵۰ نفر,narin.co,تاسیس در  ۱۳۹۱
سیکا , SIKA,۰,کامپیوتر، فناوری اطلاعات و اینترنت,۲ - ۱۰ نفر,sika.ir,None
امرداد , Amordad,۰,رسانه و انتشارات,۲ - ۱۰ نفر,None,None
هومینگ , Homing,۱۰,کامپیوتر، فناوری اطلاعات و اینترنت,۵۱ تا ۲۰۰ نفر,Homing.ir,None
کبال , Cobal,۱۰,کامپیوتر، فناوری اطلاعات و اینترنت,۱۱ تا ۵۰ نفر,cobal.ir,تاسیس در  ۱۳۹۶
طراحان قوم ماد , Gowm E Maad,۰,کامپیوتر، فناوری اطلاعات و اینترنت,۲ - ۱۰ نفر,gowmemaad.ir,None
صندوق توسعه فناوری ایرانیان , Irtechfund,۰,مالی و اعتباری,۱۱ تا ۵۰ نفر,irtechfund.com,None
وب‌اینتر , Webenter,۰,کامپیوتر، فناوری اطلاعات و اینترنت,۲ - ۱۰ نفر,webenter.ir/,None
رباتو , Rabato,۰,کامپیوتر، فناوری اطلاعات و اینترنت,۲ - ۱۰ نفر,rabato.discount,None
تجارت ذهن زیبا , B.M.T,۰,کامپیوتر، فناوری اطلاعات و اینترنت,۱۱ تا ۵۰ نفر,None,None
آرسیس , Arosis,۰,کامپیوتر، فناوری اطلاعات و اینترنت,۲ - ۱۰ نفر,www.arosis.ir,None
آوین , Avin,۰,کامپیوتر، فناوری اطلاعات و اینترنت,۲ - ۱۰ نفر,avinidp.com,None
کافه ربات , Cafe Robot,۰,کامپیوتر، فناوری اطلاعات و اینترنت,۱۱ تا ۵۰ نفر,caferobot.ir,None
انتشارات جنگل , Jungle Publications,۰,رسانه و انتشارات,۲۰۱ تا ۵۰۰ نفر,jpub.ir,None
لک‌لک , Laklak,۰,کامپیوتر، فناوری اطلاعات و اینترنت,۲ - ۱۰ نفر,laklakgroup.com,None
میزبان‌پرداز مبین , Mizban Pardaz Mobin,۰,کامپیوتر، فناوری اطلاعات و اینترنت,۲ - ۱۰ نفر,mobintelecom.com,None
فاممت , Fammet,۰,کامپیوتر، فناوری اطلاعات و اینترنت,۱۱ تا ۵۰ نفر,fammet.com,None
نیواکو , Nivaco,۰,تبلیغات، بازاریابی و برندسازی,۲ - ۱۰ نفر,nivaco.ir,None
