title_fa,title_en,open_jobs,category,company_size,company_site,year
موسسه زبان ایران اروپا , Iran Europe English School,۳,آموزش، مدارس و دانشگاه‌ها,۲۰۱ تا ۵۰۰ نفر,None,None
پیگیر , Paygear,۱,کامپیوتر، فناوری اطلاعات و اینترنت,۱۱ تا ۵۰ نفر,paygear.ir,تاسیس در  ۱۳۹۴
رادوین تجارت , Rodween,۱,کامپیوتر، فناوری اطلاعات و اینترنت,۱۱ تا ۵۰ نفر,www.rodween.com,تاسیس در  ۱۳۸۰
هلدینگ زئوس , ZEUS Holding,۱,تولید و صنایع,۵۱ تا ۲۰۰ نفر,zeusland.com,تاسیس در  ۱۳۸۶
جیبیت , Jibit,۱,کامپیوتر، فناوری اطلاعات و اینترنت,۵۱ تا ۲۰۰ نفر,jibit.ir,تاسیس در  ۱۳۹۵
هیچستان , Hichestan,۸,تاسیس در  ۱۳۹۶,کامپیوتر، فناوری اطلاعات و اینترنت,۵۱ تا ۲۰۰ نفر,None
اسنپ باکس , Snappbox,۴,کامپیوتر، فناوری اطلاعات و اینترنت,۲۰۱ تا ۵۰۰ نفر,snapp-box.com/,تاسیس در  ۱۳۹۶
بایکس , Buyex,۰,کامپیوتر، فناوری اطلاعات و اینترنت,۱۱ تا ۵۰ نفر,buyex.ir,None
نیک مدرن , Nik Modern,۰,کامپیوتر، فناوری اطلاعات و اینترنت,۲ - ۱۰ نفر,nikmodern.com,None
مدیانا , Mediana,۱,کامپیوتر، فناوری اطلاعات و اینترنت,۵۱ تا ۲۰۰ نفر,mediana.ir,None
فرست کوئست , 1stQuest,۱,کامپیوتر، فناوری اطلاعات و اینترنت,۱۱ تا ۵۰ نفر,1stQuest.com,تاسیس در  ۱۳۹۳
توسعه فن آوری باران  , Rainco,۱,کامپیوتر، فناوری اطلاعات و اینترنت,۱۱ تا ۵۰ نفر,raintd.com,None
کارپینو , Carpino,۱,کامپیوتر، فناوری اطلاعات و اینترنت,۱۱ تا ۵۰ نفر,carpino.ir,تاسیس در  ۱۳۹۵
همکاران سیستم , System Group,۲,کامپیوتر، فناوری اطلاعات و اینترنت,بیش از ۱۰۰۰ نفر,www.systemgroup.net/,تاسیس در  ۱۳۶۶
الوپیک , AloPeyk,۶,کامپیوتر، فناوری اطلاعات و اینترنت,۲۰۱ تا ۵۰۰ نفر,alopeyk.com,تاسیس در  ۱۳۹۵
فناوران سپهر ماهان , .Sepehr Mahan Tech Co,۱,کامپیوتر، فناوری اطلاعات و اینترنت,۱۱ تا ۵۰ نفر,sepehrmahan.com,تاسیس در  ۱۳۹۴
تدبیرگستران بهینه ساز , TGBS Co,۹,کامپیوتر، فناوری اطلاعات و اینترنت,۵۱ تا ۲۰۰ نفر,tgbsco.com,تاسیس در  ۱۳۷۹
تم‌یاب , Themeyab,۰,کامپیوتر، فناوری اطلاعات و اینترنت,۲ - ۱۰ نفر,themeyab.com,None
پرورش داده‌ها , DPCO,۲,کامپیوتر، فناوری اطلاعات و اینترنت,۵۰۱ تا ۱۰۰۰ نفر,www.dpco.net,تاسیس در  ۱۳۶۷
ویندوزسنتر , WindowsCenter,۰,کامپیوتر، فناوری اطلاعات و اینترنت,۱۱ تا ۵۰ نفر,windowscenter.ir,None
شرکتهای تابعه سیبل , Subsidiaries Cible,۰,رسانه و انتشارات,۲ - ۱۰ نفر,cible.ir,None
لک‌لک , Laklak,۰,کامپیوتر، فناوری اطلاعات و اینترنت,۲ - ۱۰ نفر,laklakgroup.com,None
داده پرداز پویای شریف , Dadeh Pardaz ,۴,کامپیوتر، فناوری اطلاعات و اینترنت,۱۱ تا ۵۰ نفر,www.dadehpardaz.com,None
فرازپردازان  , Faraz Pardazan,۴,کامپیوتر، فناوری اطلاعات و اینترنت,۱۱ تا ۵۰ نفر,farazpardazan.com,تاسیس در  ۱۳۸۹
میزبان‌پرداز مبین , Mizban Pardaz Mobin,۰,کامپیوتر، فناوری اطلاعات و اینترنت,۲ - ۱۰ نفر,mobintelecom.com,None
فناپ پرداخت , Fanap Payment,۲,کامپیوتر، فناوری اطلاعات و اینترنت,۲۰۱ تا ۵۰۰ نفر,fanappayment.ir,None
نیواکو , Nivaco,۰,تبلیغات، بازاریابی و برندسازی,۲ - ۱۰ نفر,nivaco.ir,None
آسان بار , Asan Bar,۱,کامپیوتر، فناوری اطلاعات و اینترنت,۵۱ تا ۲۰۰ نفر,www.asanbar.ir,تاسیس در  ۱۳۹۵
فاممت , Fammet,۰,کامپیوتر، فناوری اطلاعات و اینترنت,۱۱ تا ۵۰ نفر,fammet.com,None
تجارت سبز , Tejarat Sabz,۱,معماری و عمران,۱۱ تا ۵۰ نفر,ntsi.ir,None
شهر فردا , Shahr Farda,۱,کامپیوتر، فناوری اطلاعات و اینترنت,۱۱ تا ۵۰ نفر,None,None
خدمات مسافرتی و جهانگردی سرزمین چهارفصل  , Chaharfasl Travel Agancy,۱,گردشگری و هتل‌ها,۲ - ۱۰ نفر,www.4season.net,None
ایران هتل آنلاین , Iran Hotel Online,۱,کامپیوتر، فناوری اطلاعات و اینترنت,۵۱ تا ۲۰۰ نفر,iranhotelonline.com,تاسیس در  ۱۳۸۴
هلدینگ سرمایه گذاری یاسین , Yasin Holding,۱,خدمات درمانی، پزشکی و سلامت,۵۱ تا ۲۰۰ نفر,None,None
دفتر املاک آروند , Arvand real estate,۱,املاک و مستغلات,۱۱ تا ۵۰ نفر,None,None
برنامه نویسی متلب و هوش مصنوعی , Matlab24,۱,کامپیوتر، فناوری اطلاعات و اینترنت,۲ - ۱۰ نفر,matlab24.ir,None
فناوری اطلاعات پارسا , IT Parsa,۱,کامپیوتر، فناوری اطلاعات و اینترنت,۱۱ تا ۵۰ نفر,itparsa.com,تاسیس در  ۱۳۸۶
آی تی سیم , Itsim,۱,کامپیوتر، فناوری اطلاعات و اینترنت,۲ - ۱۰ نفر,None,None
مجتمع فنی فلات قاره , Falat Ghareh,۱,آموزش، مدارس و دانشگاه‌ها,۲ - ۱۰ نفر,FalatGhareh.ir,None
فناوری اطلاعات حامیان , Tmic,۱,کامپیوتر، فناوری اطلاعات و اینترنت,۲۰۱ تا ۵۰۰ نفر,tmicto.tehran.ir,None
راهبین گشت , rahbingasht,۱,گردشگری و هتل‌ها,۲ - ۱۰ نفر,rahbingasht.com,None
شرکت توسعه فناوری اطلاعات خوارزمی , Kharazmi IT development co.,۱,کامپیوتر، فناوری اطلاعات و اینترنت,۲۰۱ تا ۵۰۰ نفر,www.kharazmico.com,None
